,keyword,count
0,Multiplayer,46
1,Open World,26
2,Survival,17
3,Free to Play,16
4,RPG,16
5,Strategy,14
6,Action,13
7,Simulation,12
8,Open World Survival Craft,10
9,FPS,10
10,Shooter,8
11,Co-op,8
12,Singleplayer,7
13,Adventure,7
14,Zombies,6
15,Massively Multiplayer,6
16,Base Building,5
17,Battle Royale,5
18,World War II,5
19,MMORPG,5
20,Building,5
21,Crafting,5
22,Grand Strategy,5
23,Sports,5
24,Management,4
25,Souls-like,4
26,Exploration,4
27,Turn-Based Strategy,4
28,Historical,4
29,Sandbox,4
30,RTS,3
31,Medieval,3
32,Casual,3
33,Indie,3
34,Pixel Graphics,3
35,Competitive,3
36,Difficult,3
37,Roguelike,3
38,Horror,3
39,Online Co-Op,3
40,Looter Shooter,3
41,Story Rich,3
42,Automobile Sim,3
43,Soccer,3
44,Fantasy,3
45,War,3
46,Sexual Content,3
47,Anime,3
48,City Builder,2
49,First-Person,2
50,Character Customization,2
51,Sci-fi,2
52,Atmospheric,2
53,Metroidvania,2
54,PvP,2
55,MOBA,2
56,eSports,2
57,Driving,2
58,Automation,2
59,Resource Management,2
60,Farming Sim,2
61,Moddable,2
62,Racing,2
63,Martial Arts,2
64,Colony Sim,2
65,Psychological Horror,2
66,Card Game,2
67,Utilities,2
68,Software,2
69,Memes,2
70,Life Sim,2
71,Hero Shooter,2
72,Mature,2
73,Voxel,1
74,Dinosaurs,1
75,Military,1
76,Tower Defense,1
77,Fighting,1
78,2D Fighter,1
79,Nudity,1
80,Clicker,1
81,Idler,1
82,Cyberpunk,1
83,Futuristic,1
84,Dark Fantasy,1
85,Roguelite,1
86,Survival Horror,1
87,Tactical RPG,1
88,Transportation,1
89,Alternate History,1
90,Economy,1
91,JRPG,1
92,Party Game,1
93,Family Friendly,1
94,Post-apocalyptic,1
95,Agriculture,1
96,Real Time Tactics,1
97,Funny,1
98,Crime,1
99,Platformer,1
100,Great Soundtrack,1
101,Hunting,1
102,Dark,1
103,PvE,1
104,Demons,1
105,Basketball,1
106,Realistic,1
107,Heist,1
108,Western,1
109,Third Person,1
110,Pirates,1
111,Turn-Based,1
112,Roguelike Deckbuilder,1
113,Card Battler,1
114,Deckbuilding,1
115,Audio Production,1
116,Music,1
117,Space,1
118,2D,1
119,Action Roguelike,1
120,Replay Value,1
121,Tactical,1
122,VR,1
123,Design & Illustration,1
124,Tanks,1
125,Naval Combat,1
126,Naval,1
127,Mythology,1
